violation_type,violation_section,violation_description,reviewed_dv_classification,normalized_section,numeric_statute_family,explicit_attempt_prefix,categories,reason,charge_rows,source_id_groups,statute_url
PC,475(B),P0SSESS BLANK CHECK:DEFRAUD (F),other,475(B),475,0,all|property,property: explicit PC numeric statute family 475,31,31,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=475.
PC,647(F),DISORD CONDUCT:ALC,other,647(F),647,0,all,All-source population only; outside the selected statute-family indicators,31,31,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,653M(A),ANNOYING PHONE CALL:OBSCENE/THREATENING (M),ambiguous_related,653M(A),653,0,all,All-source population only; outside the selected statute-family indicators,31,31,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=653.
VC,23153(G),DUI ALCOHOL/DRUGS:CAUSING BODILY INJURY (F),other,23153(G),23153,0,all|driving,driving: explicit VC numeric statute family 23153,31,31,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153.
HS,11375(B),POSS FOR SALE/SELL CONTROLLED SUBS (F),other,11375(B),11375,0,all|drug,drug: explicit HS numeric statute family 11375,30,30,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11375.
MC,9.68.030,POSSESSION OF OPEN CONTAINER ON PUBLIC PROPERTY,other,9.68.030,9.68,0,all,All-source population only; outside the selected statute-family indicators,30,30,
PC,30600(A),MFG/SELL/TRANS/ETC ASSAULT WEAPON (F),other,30600(A),30600,0,all|weapons,weapons: explicit PC numeric statute family 30600,30,30,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30600.
PC,31360(A),VIOLENT FELON POSSESS/OWN/PURCHASE BODY ARMOR (F),other,31360(A),31360,0,all,All-source population only; outside the selected statute-family indicators,30,28,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=31360.
PC,368(D)(1),THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F),ambiguous_related,368(D)(1),368,0,all,All-source population only; outside the selected statute-family indicators,30,27,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,503,EMBEZZLEMENT ($950 OR LESS) (M),other,503,503,0,all,All-source population only; outside the selected statute-family indicators,30,30,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=503.
HS,11379.6(A),MFR CONTROLLED SUBS (F),other,11379.6(A),11379.6,0,all|drug,drug: explicit HS numeric statute family 11379.6,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11379.6.
MC,9.20.020B,"NO ONE SHALL CAMP, LODGE, SLEEP OVERNIGHT IN PUBLIC PARK, STREET OR HIGHWAY (M)",other,9.20.020B,9.20,0,all,All-source population only; outside the selected statute-family indicators,29,18,
PC,148.10(A),RESIST PEACE OFCR RSLT IN DEATH/INJ (F),other,148.10(A),148.10,0,all,All-source population only; outside the selected statute-family indicators,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.10.
PC,243.4(A),SEXUAL BATTERY (M),ambiguous_related,243.4(A),243.4,0,all|violence,violence: explicit PC numeric statute family 243.4; core-DV charge excluded from this family,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.4.
PC,246.3,WILLFULLY DISCHARGE FIREARM IN A GROSSLY NEGLIGENT MANNER (M),ambiguous_related,246.3,246.3,0,all,All-source population only; outside the selected statute-family indicators,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=246.3.
PC,273.6(A),VIOLATE DOMESTIC VIOLENCE COURT ORDER,dv_labeled_order,273.6(A),273.6,0,all,All-source population only; outside the selected statute-family indicators,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.6.
PC,417.4,BRANDISHING FIREARM REPLICA (M),other,417.4,417.4,0,all|weapons,weapons: explicit PC numeric statute family 417.4,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.4.
PC,4573.5,BRING ALC/DRUGS INTO PRISON/JAIL (F),other,4573.5,4573.5,0,all,All-source population only; outside the selected statute-family indicators,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.5.
PC,463(A),BURGLARY DURING STATE OF EMERGENCY - LOOTING (F),other,463(A),463,0,all,All-source population only; outside the selected statute-family indicators,29,28,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=463.
VC,23103,RECKLESS DRVG:PARK LOT (M),other,23103,23103,0,all|driving,driving: explicit VC numeric statute family 23103,29,29,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23103.
PC,490.5A,PETTY THEFT FROM LIBRARY OR MERCHANT (M),other,490.5A,490.5,0,all,All-source population only; outside the selected statute-family indicators,28,28,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=490.5.
PC,537(A)(1),DEFRAUDING AN INNKEEPER [$950 OR LESS] (M),other,537(A)(1),537,0,all,All-source population only; outside the selected statute-family indicators,28,28,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=537.
ZZ,OW-M,MISDEMEANOR OTHER AGENCY'S WARRANT,other,OW-M,,0,all,All-source population only; outside the selected statute-family indicators,28,28,
PC,476,MAKE/PASS FICTITIOUS CHECK UNDER $950 (M),other,476,476,0,all|property,property: explicit PC numeric statute family 476,27,27,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=476.
PC,853.7,FAIL TO APPEAR AFTER WRITTEN PROMISE (M),other,853.7,853.7,0,all,All-source population only; outside the selected statute-family indicators,27,27,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=853.7.
VC,10851(A),TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,other,10851(A),10851,0,all|property,property: explicit VC numeric statute family 10851,27,27,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=10851.
VC,14601.5(A),DRIVE W/LICENSE SUSPENDED/REVOKED FOR REFUSING CHEM TEST (M),other,14601.5(A),14601.5,0,all|driving,driving: explicit VC numeric statute family 14601.5,27,27,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=14601.5.
VC,23153(F),DUI DRUG:CAUSING BODILY INJURY (F),other,23153(F),23153,0,all|driving,driving: explicit VC numeric statute family 23153,27,27,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153.
PC,148.5(A),FALSE REPORT OF CRIME TO PEACE OFCR (M),other,148.5(A),148.5,0,all,All-source population only; outside the selected statute-family indicators,26,26,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.5.
PC,21710,POSSESS/MANUFACTURE/COMMERCIAL SALE COMPOSITE/WOOD KNUCKLES (M),other,21710,21710,0,all|weapons,weapons: explicit PC numeric statute family 21710,26,26,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21710.
PC,243.9A,BATTERY BY GASSING OF PO/DETENTION/INVEST/PROSECUTION EMP (M),ambiguous_related,243.9A,243.9,0,all,All-source population only; outside the selected statute-family indicators,26,26,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.9.
PC,30305(A)(1),PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (M),other,30305(A)(1),30305,0,all|weapons,weapons: explicit PC numeric statute family 30305,26,26,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30305.
PC,666.5(A),VEH THEFT:SPECIFIC PRS (F),other,666.5(A),666.5,0,all,All-source population only; outside the selected statute-family indicators,26,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=666.5.
MC,10.32.050(A),Unauthorized presence in drainage channels or storm channels,other,10.32.050(A),10.32,0,all,All-source population only; outside the selected statute-family indicators,25,25,
PC,136.1(B)(1),ATT TO PREVENT/DISSUADE VIC/WIT FROM REPORTING (F),ambiguous_related,136.1(B)(1),136.1,0,all,All-source population only; outside the selected statute-family indicators,25,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=136.1.
PC,23920,POSSESS/BUY/ETC FIREARM WITHOUT IDENTIFICATION MARK (M),other,23920,23920,0,all|weapons,weapons: explicit PC numeric statute family 23920,25,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=23920.
PC,240,ASSAULT ON PERS (Simple Assault) (M),ambiguous_related,240,240,0,all|violence,violence: explicit PC numeric statute family 240; core-DV charge excluded from this family,25,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=240.
PC,246,SHOOT AT INHABITED DWELLING/VEH (F),ambiguous_related,246,246,0,all,All-source population only; outside the selected statute-family indicators,25,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=246.
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (M),core_dv,273.5A,273.5,0,all|core,Core DV: existing reviewed exact charge classification,25,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.5.
PC,374.7(A),LITTER/DUMP WASTE IN WATER/SHORE (M),other,374.7(A),374.7,0,all,All-source population only; outside the selected statute-family indicators,25,12,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=374.7.
PC,415(1),DISORD CONDUCT:FIGHT/CHALLENGE FIGHT PUB PLACE (M),other,415(1),415,0,all,All-source population only; outside the selected statute-family indicators,25,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=415.
VC,22107,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),other,22107,22107,0,all,All-source population only; outside the selected statute-family indicators,25,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22107.
VC,22349(A),EXCEED 65 MPH STATUTORY SPEED (I),other,22349(A),22349,0,all,All-source population only; outside the selected statute-family indicators,25,25,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22349.
VC,23109(C),ILLEGAL SPEED EXHIBITION (M),other,23109(C),23109,0,all|driving,driving: explicit VC numeric statute family 23109,25,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23109.
PC,186.22(D),CRIMINAL STREET GANG:WITH PUBLIC OFFENSE CONVICTION (F),other,186.22(D),186.22,0,all,All-source population only; outside the selected statute-family indicators,24,24,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=186.22.
PC,245(A)(4),ADW WITH FORCE:POSSIBLE GBI,ambiguous_related,245(A)(4),245,0,all|violence,violence: explicit PC numeric statute family 245; core-DV charge excluded from this family,24,24,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=245.
PC,452C,CAUSING FIRE OF STRUCTURE/FOREST LAND (F),other,452C,452,0,all,All-source population only; outside the selected statute-family indicators,24,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=452.
VC,22348B,DRIVE IN EXCESS 100 MPH (I),other,22348B,22348,0,all,All-source population only; outside the selected statute-family indicators,24,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22348.
VC,23153(A),DUI ALCOHOL:CAUSING BODILY INJURY (M),other,23153(A),23153,0,all|driving,driving: explicit VC numeric statute family 23153,24,24,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23153.
VC,2800.2(A),DISREGARD SAFETY:EVADE POLICE (M),other,2800.2(A),2800.2,0,all|driving,driving: explicit VC numeric statute family 2800.2,24,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.2.
ZZ,BW-F,FELONY BENCH WARRANT (OUR AGENCY),other,BW-F,,0,all,All-source population only; outside the selected statute-family indicators,24,24,
PC,12091,POSS FIREARM W/ALTERED IDENT (F),other,12091,12091,0,all,All-source population only; outside the selected statute-family indicators,23,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=12091.
PC,243A,BATTERY ON PERSON,ambiguous_related,243A,243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,23,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
PC,25400(C)(4),CARRY CONCEALED WEAPON PROHIBITED CLASS/UNLAWFUL POSSESSION (F),other,25400(C)(4),25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,23,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,4600,DAMAGE JAIL/PRISON/PROPERTY (UNDER $950) (M),other,4600,4600,0,all,All-source population only; outside the selected statute-family indicators,23,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4600.
PC,484E(D),USE ACCESS CARD ACCOUNT INFO W/O CONSENT (F),other,484E(D),484,0,all|property,property: explicit PC numeric statute family 484,23,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,487(D),GRAND THEFT:AUTO (F),other,487(D),487,0,all|property,property: explicit PC numeric statute family 487,23,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
VC,21200.5,RIDING BICYCLE UNDER INFLUENCE OF ALCOHOL AND/OR DRUGS(IBR 90E),other,21200.5,21200.5,0,all,All-source population only; outside the selected statute-family indicators,23,23,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21200.5.
HS,11370.4(A)4,HEROIN OR COCAINE OVER 20KG (BAIL+),other,11370.4(A)4,11370.4,0,all|drug,drug: explicit HS numeric statute family 11370.4,22,16,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11370.4.
PC,136.1(A)(1),PREVENT/DISSUADE VIC/WIT (F),ambiguous_related,136.1(A)(1),136.1,0,all,All-source population only; outside the selected statute-family indicators,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=136.1.
PC,20150(A),ALTER/CHANGE/ETC IMITATION FIREARM TO LOOK LIKE A FIREARM (M),other,20150(A),20150,0,all|weapons,weapons: explicit PC numeric statute family 20150,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=20150.
PC,266I(A)(1),PANDERING:PROCURE PERSON FOR PROSTITUTION (F),other,266I(A)(1),266,0,all,All-source population only; outside the selected statute-family indicators,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=266.
PC,273D,INFLICT SERIOUS INJ UPON A CHILD (F),ambiguous_related,273D,273,0,all,All-source population only; outside the selected statute-family indicators,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.
PC,29180(2)(A),MANUFACTURE/ASSEMBLE FIREARM - PROVIDE SERIAL NUMBER (M),other,29180(2)(A),29180,0,all|weapons,weapons: explicit PC numeric statute family 29180,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=29180.
PC,308A1AI,FURNISH UNDER 21 W/TOBACCO/SMOKING PARAPHERNALIA (M),other,308A1AI,308,0,all,All-source population only; outside the selected statute-family indicators,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=308.
PC,487(B)(3),GRAND THEFT BY SERVANT/ETC [$950 OR MORE] (F),other,487(B)(3),487,0,all|property,property: explicit PC numeric statute family 487,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,530.5(D)(2),KNOWINGLY USE PERSONAL IDENTIFYING INFO TO COMMIT A VIOLATION (F),other,530.5(D)(2),530.5,0,all|property,property: explicit PC numeric statute family 530.5,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
PC,600A,WILLFULLY HARM PEACE OFCRS HORSE/DOG W/O SER INJ (M),other,600A,600,0,all,All-source population only; outside the selected statute-family indicators,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=600.
VC,12500(A),DRVG WITHOUT VALID DRVR'S LIC,other,12500(A),12500,0,all|driving,driving: explicit VC numeric statute family 12500,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=12500.
VC,4000A,NO REGISTRATION:VEHICLE/TRAILER/ETC (I),other,4000A,4000,0,all,All-source population only; outside the selected statute-family indicators,22,22,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4000.
HS,11351.5,POSS/PURCHASE COCAINE BASE FOR SALE (F),other,11351.5,11351.5,0,all|drug,drug: explicit HS numeric statute family 11351.5,21,21,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11351.5.
